"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,1376935.633559,740318.657866,"ns/op",10000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,3087072.162850,322954.024261,"ns/op",20000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,5089067.359149,2210774.094627,"ns/op",30000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,8136321.521271,5227301.212973,"ns/op",40000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,11356746.990277,22811879.466995,"ns/op",50000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,16895416.173051,24483306.837148,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,20491081.467949,15279142.381192,"ns/op",80000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,36479067.645623,164384325.443174,"ns/op",90000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkArrayConstructor","avgt",1,3,27426442.067817,53914734.763569,"ns/op",100000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,34.830541,72.899738,"ns/op",10000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,52.405668,113.302517,"ns/op",20000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,233.460985,1818.844159,"ns/op",30000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,266.856410,1441.784192,"ns/op",40000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,427.507542,3276.463978,"ns/op",50000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,894.120789,5130.395602,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkClear","avgt",1,3,1182.251662,16834.542362,"ns/op",80000
